PaymentMethod,MonthlyCharges,InternetService,DeviceProtection,OnlineSecurity
Bank transfer (automatic),105.25,Fiber optic,Yes,Yes
Electronic check,89.25,Fiber optic,Yes,No
Credit card (automatic),20.65,No,No internet service,No internet service
Electronic check,68.7,DSL,No,No
Credit card (automatic),78.65,DSL,Yes,Yes
Mailed check,24.75,No,No internet service,No internet service
Credit card (automatic),19.75,No,No internet service,No internet service
Electronic check,89.1,Fiber optic,Yes,Yes
Bank transfer (automatic),84.7,Fiber optic,No,Yes
Electronic check,98.0,Fiber optic,Yes,No
Electronic check,94.45,Fiber optic,Yes,No
Electronic check,105.0,Fiber optic,Yes,No
Electronic check,93.85,Fiber optic,Yes,No
Electronic check,59.9,DSL,No,No
Mailed check,19.95,No,No internet service,No internet service
Electronic check,84.0,Fiber optic,No,No
Electronic check,108.9,Fiber optic,Yes,No
Mailed check,33.6,DSL,Yes,Yes
Mailed check,85.85,Fiber optic,Yes,No
Bank transfer (automatic),34.85,DSL,No,No
Electronic check,48.75,DSL,Yes,No
Electronic check,84.85,Fiber optic,Yes,No
Mailed check,56.65,DSL,No,Yes
Credit card (automatic),95.3,Fiber optic,Yes,No
Credit card (automatic),73.9,DSL,Yes,Yes
Mailed check,24.5,No,No internet service,No internet service
Bank transfer (automatic),84.6,Fiber optic,No,Yes
Electronic check,44.95,DSL,No,No
Electronic check,24.7,DSL,No,No
Credit card (automatic),100.3,Fiber optic,No,No
Mailed check,25.45,No,No internet service,No internet service
Mailed check,50.7,DSL,No,Yes
Credit card (automatic),55.0,DSL,Yes,Yes
Bank transfer (automatic),68.4,DSL,No,Yes
Electronic check,89.9,Fiber optic,Yes,No
Electronic check,78.55,Fiber optic,No,No
Bank transfer (automatic),55.05,DSL,No,No
Credit card (automatic),19.8,No,No internet service,No internet service
Electronic check,84.45,Fiber optic,No,No
Mailed check,35.9,DSL,Yes,No
Bank transfer (automatic),80.75,Fiber optic,No,Yes
Mailed check,78.65,DSL,Yes,No
Bank transfer (automatic),61.75,DSL,Yes,Yes
Credit card (automatic),63.7,DSL,Yes,Yes
Electronic check,99.45,Fiber optic,Yes,No
Bank transfer (automatic),25.2,DSL,No,No
Mailed check,74.05,DSL,No,No
Electronic check,87.6,Fiber optic,Yes,Yes
Electronic check,89.15,Fiber optic,No,Yes
Credit card (automatic),20.0,No,No internet service,No internet service
Credit card (automatic),55.0,DSL,No,No
Bank transfer (automatic),104.4,Fiber optic,Yes,No
Credit card (automatic),20.05,No,No internet service,No internet service
Electronic check,89.75,Fiber optic,No,No
Electronic check,34.3,DSL,No,No
Bank transfer (automatic),20.65,No,No internet service,No internet service
Mailed check,84.25,Fiber optic,No,Yes
Bank transfer (automatic),19.65,No,No internet service,No internet service
Credit card (automatic),79.85,DSL,No,Yes
Mailed check,20.2,No,No internet service,No internet service
Mailed check,19.8,No,No internet service,No internet service
Electronic check,50.35,DSL,No,No
Electronic check,85.15,Fiber optic,No,No
Bank transfer (automatic),74.6,DSL,Yes,No
Credit card (automatic),79.15,Fiber optic,No,No
Mailed check,20.35,No,No internet service,No internet service
Bank transfer (automatic),21.05,No,No internet service,No internet service
Electronic check,94.6,Fiber optic,No,No
Electronic check,94.7,Fiber optic,No,No
Electronic check,94.25,Fiber optic,No,Yes
Credit card (automatic),72.45,DSL,Yes,Yes
Electronic check,74.95,Fiber optic,No,No
Electronic check,105.2,Fiber optic,Yes,Yes
Bank transfer (automatic),111.95,Fiber optic,Yes,Yes
Bank transfer (automatic),19.85,No,No internet service,No internet service
Electronic check,89.75,Fiber optic,No,No
Mailed check,20.05,No,No internet service,No internet service
Electronic check,108.95,Fiber optic,Yes,Yes
Credit card (automatic),19.65,No,No internet service,No internet service
Mailed check,24.9,DSL,No,No
Electronic check,82.85,Fiber optic,No,No
Credit card (automatic),93.2,DSL,Yes,Yes
Bank transfer (automatic),84.8,Fiber optic,Yes,Yes
Electronic check,71.75,DSL,No,Yes
Bank transfer (automatic),30.35,DSL,No,No
Bank transfer (automatic),54.85,DSL,Yes,No
Mailed check,19.5,No,No internet service,No internet service
Electronic check,103.85,Fiber optic,Yes,No
Mailed check,24.2,No,No internet service,No internet service
Electronic check,19.35,No,No internet service,No internet service
Electronic check,83.6,Fiber optic,No,No
Electronic check,100.65,Fiber optic,No,No
Credit card (automatic),94.1,Fiber optic,Yes,No
Electronic check,74.55,Fiber optic,No,Yes
Electronic check,108.45,Fiber optic,Yes,No
Electronic check,56.15,DSL,Yes,No
Mailed check,20.35,No,No internet service,No internet service
Electronic check,80.55,DSL,Yes,No
Mailed check,61.25,DSL,Yes,Yes
Mailed check,20.45,No,No internet service,No internet service
Credit card (automatic),18.9,No,No internet service,No internet service
Credit card (automatic),19.6,No,No internet service,No internet service
Credit card (automatic),91.5,Fiber optic,No,No
Bank transfer (automatic),45.2,DSL,No,No
Credit card (automatic),19.45,No,No internet service,No internet service
Bank transfer (automatic),25.45,No,No internet service,No internet service
Bank transfer (automatic),80.85,Fiber optic,No,Yes
Mailed check,94.9,Fiber optic,No,Yes
Bank transfer (automatic),49.05,DSL,Yes,No
Mailed check,29.3,DSL,No,No
Electronic check,105.3,Fiber optic,Yes,No
Electronic check,88.95,Fiber optic,No,No
Mailed check,20.25,No,No internet service,No internet service
Electronic check,110.85,Fiber optic,Yes,No
Electronic check,110.5,Fiber optic,Yes,Yes
Bank transfer (automatic),109.4,Fiber optic,Yes,Yes
Bank transfer (automatic),114.2,Fiber optic,Yes,Yes
Bank transfer (automatic),36.5,DSL,No,No
Mailed check,70.75,Fiber optic,No,No
Mailed check,19.95,No,No internet service,No internet service
Mailed check,19.6,No,No internet service,No internet service
Mailed check,40.15,DSL,Yes,No
Electronic check,76.6,Fiber optic,No,No
Credit card (automatic),19.6,No,No internet service,No internet service
Credit card (automatic),85.3,Fiber optic,Yes,No
Electronic check,65.85,DSL,No,Yes
Electronic check,94.45,Fiber optic,No,No
Credit card (automatic),20.05,No,No internet service,No internet service
Bank transfer (automatic),99.4,Fiber optic,Yes,Yes
Mailed check,20.0,No,No internet service,No internet service
Electronic check,78.45,DSL,No,Yes
Electronic check,25.1,No,No internet service,No internet service
Bank transfer (automatic),97.35,Fiber optic,Yes,No
Electronic check,55.0,DSL,No,No
Credit card (automatic),71.1,DSL,Yes,Yes
Credit card (automatic),61.55,DSL,No,No
Bank transfer (automatic),45.9,DSL,No,No
Bank transfer (automatic),40.3,DSL,No,Yes
Electronic check,87.1,Fiber optic,No,No
Mailed check,49.5,DSL,No,No
Credit card (automatic),73.8,Fiber optic,No,No
Mailed check,19.2,No,No internet service,No internet service
Mailed check,45.3,DSL,No,No
Mailed check,25.0,No,No internet service,No internet service
Electronic check,94.95,Fiber optic,Yes,No
Mailed check,35.3,DSL,Yes,Yes
Electronic check,44.55,DSL,No,No
Credit card (automatic),76.75,DSL,Yes,No
Bank transfer (automatic),81.0,DSL,Yes,No
Bank transfer (automatic),105.55,Fiber optic,Yes,Yes
Mailed check,18.8,No,No internet service,No internet service
Mailed check,24.9,No,No internet service,No internet service
Electronic check,23.45,DSL,No,No
Mailed check,64.9,DSL,No,No
Bank transfer (automatic),61.35,DSL,Yes,Yes
Mailed check,113.95,Fiber optic,Yes,Yes
Electronic check,90.15,DSL,Yes,Yes
Electronic check,54.1,DSL,No,No
Mailed check,29.7,DSL,No,Yes
Credit card (automatic),49.8,DSL,No,Yes
Electronic check,101.1,Fiber optic,No,No
Bank transfer (automatic),24.4,No,No internet service,No internet service
Bank transfer (automatic),95.0,Fiber optic,No,No
Mailed check,50.65,DSL,No,No
Mailed check,69.9,DSL,Yes,Yes
Bank transfer (automatic),39.95,DSL,No,No
Electronic check,55.4,DSL,No,No
Electronic check,90.6,Fiber optic,No,No
Credit card (automatic),103.25,Fiber optic,Yes,Yes
Mailed check,86.85,Fiber optic,No,No
Bank transfer (automatic),94.25,Fiber optic,Yes,Yes
Electronic check,47.05,DSL,Yes,No
Credit card (automatic),20.55,No,No internet service,No internet service
Mailed check,19.65,No,No internet service,No internet service
Electronic check,70.2,Fiber optic,No,No
Credit card (automatic),81.0,DSL,Yes,Yes
Bank transfer (automatic),75.9,DSL,No,Yes
Bank transfer (automatic),24.7,No,No internet service,No internet service
Bank transfer (automatic),99.05,Fiber optic,Yes,No
Credit card (automatic),110.25,Fiber optic,Yes,Yes
Credit card (automatic),85.0,DSL,Yes,Yes
Credit card (automatic),19.75,No,No internet service,No internet service
Electronic check,23.9,No,No internet service,No internet service
Credit card (automatic),111.25,Fiber optic,No,Yes
Mailed check,55.1,DSL,Yes,Yes
Mailed check,19.95,No,No internet service,No internet service
Mailed check,25.15,DSL,No,No
Mailed check,54.15,DSL,No,No
Mailed check,59.8,DSL,No,No
Bank transfer (automatic),83.85,Fiber optic,No,No
Electronic check,104.9,Fiber optic,Yes,No
Mailed check,75.3,Fiber optic,No,No
Electronic check,66.65,DSL,No,No
Credit card (automatic),109.5,Fiber optic,Yes,Yes
Bank transfer (automatic),73.85,DSL,Yes,No
Bank transfer (automatic),19.3,No,No internet service,No internet service
Electronic check,118.2,Fiber optic,Yes,Yes
Credit card (automatic),51.45,DSL,No,No
Electronic check,59.45,DSL,No,No
Bank transfer (automatic),19.5,No,No internet service,No internet service
Mailed check,19.55,No,No internet service,No internet service
Electronic check,93.55,Fiber optic,No,Yes
Mailed check,59.3,DSL,Yes,Yes
Credit card (automatic),102.25,Fiber optic,Yes,No
Credit card (automatic),95.9,Fiber optic,Yes,No
Bank transfer (automatic),109.8,Fiber optic,Yes,Yes
Electronic check,78.1,Fiber optic,No,No
Electronic check,39.9,DSL,No,Yes
Credit card (automatic),64.9,DSL,Yes,Yes
Electronic check,95.05,Fiber optic,No,No
Credit card (automatic),53.4,DSL,Yes,No
Credit card (automatic),24.9,DSL,No,No
Credit card (automatic),44.7,DSL,No,No
Bank transfer (automatic),114.0,Fiber optic,Yes,Yes
Bank transfer (automatic),20.25,No,No internet service,No internet service
Credit card (automatic),53.85,DSL,No,Yes
Bank transfer (automatic),83.85,Fiber optic,No,Yes
Bank transfer (automatic),20.2,No,No internet service,No internet service
Mailed check,19.95,No,No internet service,No internet service
Electronic check,104.2,Fiber optic,Yes,Yes
Electronic check,50.25,DSL,No,No
Mailed check,20.35,No,No internet service,No internet service
Electronic check,90.0,Fiber optic,No,Yes
Credit card (automatic),54.2,DSL,Yes,Yes
Electronic check,99.5,Fiber optic,Yes,No
Mailed check,99.1,Fiber optic,No,Yes
Mailed check,66.9,DSL,No,Yes
Mailed check,25.85,DSL,No,No
Electronic check,91.05,Fiber optic,No,No
Electronic check,71.0,Fiber optic,No,No
Credit card (automatic),93.2,Fiber optic,Yes,No
Bank transfer (automatic),20.95,No,No internet service,No internet service
Bank transfer (automatic),109.2,Fiber optic,Yes,No
Mailed check,19.35,No,No internet service,No internet service
Credit card (automatic),85.8,Fiber optic,No,Yes
Mailed check,19.85,No,No internet service,No internet service
Electronic check,19.65,No,No internet service,No internet service
Bank transfer (automatic),20.5,No,No internet service,No internet service
Credit card (automatic),89.65,DSL,Yes,Yes
Mailed check,74.35,Fiber optic,No,Yes
Credit card (automatic),49.45,DSL,No,No
Electronic check,89.1,Fiber optic,No,No
Credit card (automatic),75.15,DSL,Yes,Yes
Electronic check,70.65,Fiber optic,No,No
Electronic check,104.2,Fiber optic,Yes,No
Electronic check,90.05,Fiber optic,Yes,Yes
Electronic check,79.25,Fiber optic,No,No
Bank transfer (automatic),44.9,DSL,No,No
Credit card (automatic),19.4,No,No internet service,No internet service
Credit card (automatic),88.75,Fiber optic,Yes,No
Electronic check,70.1,Fiber optic,No,No
Credit card (automatic),91.0,Fiber optic,No,Yes
Electronic check,29.65,DSL,Yes,No
Electronic check,90.8,Fiber optic,No,Yes
Electronic check,77.85,Fiber optic,No,No
Electronic check,54.3,DSL,No,No
Mailed check,18.95,No,No internet service,No internet service
Bank transfer (automatic),95.15,Fiber optic,No,No
Bank transfer (automatic),102.4,Fiber optic,No,Yes
Electronic check,99.9,Fiber optic,Yes,No
Credit card (automatic),88.7,DSL,Yes,Yes
Electronic check,54.3,DSL,Yes,No
Bank transfer (automatic),55.7,DSL,Yes,No
Electronic check,103.95,Fiber optic,Yes,Yes
Credit card (automatic),110.85,Fiber optic,Yes,Yes
Mailed check,20.15,No,No internet service,No internet service
Mailed check,20.05,No,No internet service,No internet service
Credit card (automatic),91.95,DSL,Yes,Yes
Electronic check,80.5,Fiber optic,No,No
Electronic check,55.65,DSL,Yes,No
Electronic check,74.7,Fiber optic,No,No
Credit card (automatic),104.15,Fiber optic,Yes,No
Bank transfer (automatic),83.65,Fiber optic,No,No
Bank transfer (automatic),72.2,Fiber optic,No,No
Credit card (automatic),110.05,Fiber optic,Yes,Yes
Mailed check,51.5,DSL,No,No
Credit card (automatic),25.5,No,No internet service,No internet service
Mailed check,89.55,Fiber optic,No,No
Credit card (automatic),19.5,No,No internet service,No internet service
Electronic check,80.7,Fiber optic,No,Yes
Mailed check,77.5,DSL,No,Yes
Credit card (automatic),105.1,Fiber optic,Yes,Yes
Bank transfer (automatic),25.15,DSL,No,No
Bank transfer (automatic),95.25,Fiber optic,Yes,No
Credit card (automatic),95.65,Fiber optic,No,No
Electronic check,85.0,Fiber optic,No,Yes
Bank transfer (automatic),80.8,DSL,Yes,Yes
Mailed check,24.85,DSL,No,No
Credit card (automatic),54.75,DSL,No,No
Electronic check,85.75,Fiber optic,No,No
Electronic check,50.75,DSL,Yes,No
Mailed check,20.15,No,No internet service,No internet service
Mailed check,20.05,No,No internet service,No internet service
Electronic check,98.25,Fiber optic,No,No
Credit card (automatic),71.6,DSL,Yes,Yes
Credit card (automatic),81.45,Fiber optic,No,Yes
Bank transfer (automatic),58.4,DSL,Yes,No
Mailed check,25.7,DSL,No,No
Credit card (automatic),53.7,DSL,Yes,Yes
Bank transfer (automatic),19.6,No,No internet service,No internet service
Credit card (automatic),89.4,Fiber optic,No,No
Electronic check,69.0,Fiber optic,No,No
Bank transfer (automatic),84.2,Fiber optic,No,No
Credit card (automatic),106.1,Fiber optic,Yes,Yes
Mailed check,25.75,No,No internet service,No internet service
Bank transfer (automatic),46.05,DSL,No,No
Bank transfer (automatic),64.95,DSL,No,Yes
Credit card (automatic),85.45,DSL,Yes,No
Mailed check,20.05,No,No internet service,No internet service
Mailed check,76.4,Fiber optic,No,No
Electronic check,100.5,Fiber optic,Yes,No
Mailed check,20.7,No,No internet service,No internet service
Credit card (automatic),25.3,No,No internet service,No internet service
Mailed check,40.05,DSL,No,Yes
Bank transfer (automatic),100.6,Fiber optic,No,No
Electronic check,69.95,Fiber optic,No,No
Bank transfer (automatic),74.0,Fiber optic,No,No
Electronic check,99.4,Fiber optic,No,No
Electronic check,93.3,Fiber optic,No,No
Electronic check,49.15,DSL,Yes,No
Credit card (automatic),107.45,Fiber optic,Yes,Yes
Credit card (automatic),83.6,DSL,Yes,Yes
Credit card (automatic),99.05,Fiber optic,Yes,No
Electronic check,80.1,DSL,No,No
Bank transfer (automatic),65.3,DSL,No,Yes
Electronic check,89.55,Fiber optic,Yes,No
Credit card (automatic),60.8,DSL,Yes,No
Electronic check,74.5,Fiber optic,No,No
Bank transfer (automatic),99.15,Fiber optic,No,Yes
Electronic check,19.25,No,No internet service,No internet service
Credit card (automatic),39.45,DSL,No,Yes
Credit card (automatic),44.85,DSL,No,No
Electronic check,97.2,Fiber optic,No,Yes
Mailed check,110.55,Fiber optic,Yes,Yes
Mailed check,35.05,DSL,No,No
Electronic check,73.0,Fiber optic,No,No
Mailed check,19.9,No,No internet service,No internet service
Bank transfer (automatic),76.95,DSL,No,No
Mailed check,35.4,DSL,Yes,No
Bank transfer (automatic),20.45,No,No internet service,No internet service
Bank transfer (automatic),96.75,Fiber optic,No,Yes
Electronic check,54.2,DSL,Yes,No
Bank transfer (automatic),100.1,Fiber optic,Yes,No
Mailed check,45.25,DSL,No,No
Credit card (automatic),83.85,Fiber optic,Yes,No
Electronic check,70.1,Fiber optic,No,No
Bank transfer (automatic),20.85,No,No internet service,No internet service
Mailed check,33.45,DSL,Yes,No
Mailed check,20.2,No,No internet service,No internet service
Electronic check,85.9,Fiber optic,Yes,Yes
Electronic check,61.0,DSL,Yes,No
Electronic check,70.65,Fiber optic,No,No
Electronic check,86.9,Fiber optic,No,No
Bank transfer (automatic),69.4,DSL,Yes,Yes
Credit card (automatic),20.35,No,No internet service,No internet service
Mailed check,20.35,No,No internet service,No internet service
Bank transfer (automatic),104.3,Fiber optic,Yes,No
Electronic check,44.95,DSL,No,No
Electronic check,49.45,DSL,No,No
Mailed check,20.6,No,No internet service,No internet service
Credit card (automatic),19.55,No,No internet service,No internet service
Credit card (automatic),99.0,Fiber optic,Yes,Yes
Electronic check,93.5,Fiber optic,No,No
Credit card (automatic),54.55,DSL,No,Yes
Mailed check,20.05,No,No internet service,No internet service
Electronic check,83.95,Fiber optic,No,No
Electronic check,79.45,Fiber optic,No,No
Credit card (automatic),116.2,Fiber optic,Yes,Yes
Bank transfer (automatic),93.7,Fiber optic,No,No
Credit card (automatic),79.85,DSL,Yes,Yes
Electronic check,100.0,Fiber optic,Yes,No
Mailed check,19.6,No,No internet service,No internet service
Mailed check,19.7,No,No internet service,No internet service
Bank transfer (automatic),20.2,No,No internet service,No internet service
Credit card (automatic),50.4,DSL,Yes,Yes
Electronic check,113.35,Fiber optic,Yes,Yes
Bank transfer (automatic),80.0,Fiber optic,No,No
Bank transfer (automatic),80.95,DSL,Yes,No
Mailed check,24.9,No,No internet service,No internet service
Electronic check,54.9,DSL,No,No
Electronic check,75.55,Fiber optic,No,No
Electronic check,109.25,Fiber optic,Yes,No
Bank transfer (automatic),77.65,Fiber optic,No,No
Electronic check,95.0,Fiber optic,No,Yes
Bank transfer (automatic),116.3,Fiber optic,Yes,Yes
Bank transfer (automatic),19.9,No,No internet service,No internet service
Electronic check,70.35,Fiber optic,No,No
Credit card (automatic),25.6,No,No internet service,No internet service
Electronic check,44.45,DSL,Yes,Yes
Electronic check,100.15,Fiber optic,Yes,No
Credit card (automatic),105.4,Fiber optic,No,Yes
Electronic check,95.85,Fiber optic,Yes,No
Mailed check,73.85,Fiber optic,No,No
Credit card (automatic),70.1,DSL,Yes,Yes
Mailed check,25.25,No,No internet service,No internet service
Electronic check,79.15,Fiber optic,No,No
Credit card (automatic),21.05,No,No internet service,No internet service
Bank transfer (automatic),24.95,DSL,No,No
Electronic check,64.5,DSL,Yes,No
Bank transfer (automatic),19.65,No,No internet service,No internet service
Electronic check,79.0,Fiber optic,No,No
Credit card (automatic),105.95,Fiber optic,Yes,No
Electronic check,75.85,Fiber optic,No,No
Electronic check,91.85,Fiber optic,No,Yes
Credit card (automatic),43.6,DSL,Yes,No
Bank transfer (automatic),91.25,Fiber optic,No,No
Credit card (automatic),89.75,DSL,Yes,Yes
Bank transfer (automatic),104.4,Fiber optic,Yes,No
Mailed check,90.15,Fiber optic,Yes,No
Electronic check,40.3,DSL,Yes,Yes
Bank transfer (automatic),105.25,Fiber optic,Yes,Yes
Electronic check,106.0,Fiber optic,Yes,No
Electronic check,104.0,Fiber optic,No,No
Electronic check,69.65,DSL,No,No
Electronic check,74.3,Fiber optic,No,No
Mailed check,100.9,Fiber optic,No,Yes
Mailed check,20.25,No,No internet service,No internet service
Mailed check,49.9,DSL,No,No
Credit card (automatic),96.9,Fiber optic,Yes,No
Electronic check,100.35,Fiber optic,No,Yes
Electronic check,104.1,Fiber optic,Yes,No
Mailed check,20.1,No,No internet service,No internet service
Bank transfer (automatic),74.95,Fiber optic,No,No
Credit card (automatic),56.55,DSL,No,No
Credit card (automatic),49.25,DSL,No,No
Bank transfer (automatic),68.6,Fiber optic,No,No
Credit card (automatic),69.05,Fiber optic,No,No
Credit card (automatic),19.7,No,No internet service,No internet service
Mailed check,20.05,No,No internet service,No internet service
Electronic check,103.7,Fiber optic,No,No
Electronic check,94.4,Fiber optic,Yes,Yes
Credit card (automatic),54.95,DSL,No,Yes
Bank transfer (automatic),93.7,Fiber optic,No,Yes
Credit card (automatic),110.25,Fiber optic,No,Yes
Electronic check,98.9,Fiber optic,Yes,Yes
Electronic check,89.75,Fiber optic,Yes,Yes
Bank transfer (automatic),80.45,DSL,Yes,Yes
Electronic check,79.4,Fiber optic,No,No
Mailed check,20.3,No,No internet service,No internet service
Bank transfer (automatic),62.8,DSL,Yes,No
Mailed check,74.9,Fiber optic,No,No
Electronic check,74.85,Fiber optic,No,Yes
Credit card (automatic),25.85,No,No internet service,No internet service
Electronic check,101.95,Fiber optic,Yes,No
Mailed check,68.3,DSL,Yes,No
Bank transfer (automatic),48.4,DSL,Yes,Yes
Electronic check,94.0,Fiber optic,No,No
Electronic check,105.05,Fiber optic,No,Yes
Credit card (automatic),89.3,Fiber optic,No,No
Credit card (automatic),25.15,No,No internet service,No internet service
Credit card (automatic),19.5,No,No internet service,No internet service
Bank transfer (automatic),92.95,Fiber optic,Yes,No
Mailed check,20.7,No,No internet service,No internet service
Credit card (automatic),74.3,Fiber optic,No,No
Bank transfer (automatic),19.35,No,No internet service,No internet service
Mailed check,44.65,DSL,No,No
Electronic check,84.05,Fiber optic,No,Yes
Bank transfer (automatic),80.7,Fiber optic,No,No
Electronic check,104.35,Fiber optic,Yes,No
Mailed check,19.55,No,No internet service,No internet service
Electronic check,74.05,DSL,Yes,Yes
Mailed check,40.1,DSL,Yes,Yes
Mailed check,20.1,No,No internet service,No internet service
Electronic check,101.7,Fiber optic,No,No
Credit card (automatic),83.55,DSL,Yes,Yes
Electronic check,56.85,DSL,No,No
Mailed check,20.4,No,No internet service,No internet service
Credit card (automatic),19.55,No,No internet service,No internet service
Electronic check,106.15,Fiber optic,Yes,No
Credit card (automatic),78.95,DSL,Yes,No
Electronic check,49.75,DSL,No,No
Credit card (automatic),92.4,Fiber optic,No,Yes
Bank transfer (automatic),58.2,DSL,No,Yes
Electronic check,102.6,Fiber optic,Yes,No
Credit card (automatic),91.95,Fiber optic,No,No
Bank transfer (automatic),65.25,DSL,Yes,No
Bank transfer (automatic),106.0,Fiber optic,Yes,No
Electronic check,73.1,Fiber optic,No,No
Bank transfer (automatic),59.75,DSL,No,Yes
Mailed check,55.1,DSL,No,Yes
Bank transfer (automatic),59.8,DSL,Yes,No
Bank transfer (automatic),116.6,Fiber optic,Yes,Yes
Electronic check,109.3,Fiber optic,Yes,Yes
Bank transfer (automatic),101.4,Fiber optic,No,Yes
Credit card (automatic),50.65,DSL,Yes,No
Mailed check,56.15,DSL,No,No
Bank transfer (automatic),106.5,Fiber optic,Yes,No
Mailed check,19.2,No,No internet service,No internet service
Bank transfer (automatic),83.0,DSL,Yes,Yes
Electronic check,70.1,Fiber optic,No,No
Bank transfer (automatic),108.3,Fiber optic,Yes,Yes
Bank transfer (automatic),91.05,Fiber optic,Yes,No
Credit card (automatic),25.25,No,No internet service,No internet service
Electronic check,45.35,DSL,No,Yes
Electronic check,43.9,DSL,No,Yes
Electronic check,77.5,Fiber optic,No,Yes
Mailed check,79.3,DSL,Yes,No
Credit card (automatic),84.9,Fiber optic,No,Yes
Electronic check,79.25,Fiber optic,No,No
Credit card (automatic),71.05,DSL,No,Yes
Electronic check,53.75,DSL,Yes,Yes
Credit card (automatic),24.25,No,No internet service,No internet service
Electronic check,54.2,DSL,Yes,No
Bank transfer (automatic),44.25,DSL,Yes,Yes
Bank transfer (automatic),50.05,DSL,No,No
Mailed check,20.15,No,No internet service,No internet service
Mailed check,69.25,Fiber optic,No,No
Credit card (automatic),69.35,DSL,Yes,Yes
Mailed check,19.35,No,No internet service,No internet service
Mailed check,19.15,No,No internet service,No internet service
Mailed check,61.0,DSL,Yes,Yes
Credit card (automatic),20.5,No,No internet service,No internet service
Electronic check,50.5,DSL,Yes,No
Mailed check,50.2,DSL,Yes,No
Bank transfer (automatic),79.6,DSL,Yes,Yes
Bank transfer (automatic),24.9,No,No internet service,No internet service
Electronic check,74.4,Fiber optic,No,No
Electronic check,106.9,Fiber optic,Yes,Yes
Electronic check,101.35,Fiber optic,Yes,No
Credit card (automatic),55.35,DSL,No,Yes
Credit card (automatic),50.55,DSL,No,No
Bank transfer (automatic),19.5,No,No internet service,No internet service
Mailed check,79.45,DSL,No,No
Electronic check,90.65,Fiber optic,No,Yes
Bank transfer (automatic),89.85,Fiber optic,No,Yes
Mailed check,79.0,DSL,Yes,Yes
Electronic check,104.65,Fiber optic,Yes,No
Mailed check,19.55,No,No internet service,No internet service
Mailed check,19.9,No,No internet service,No internet service
Electronic check,116.25,Fiber optic,Yes,Yes
Bank transfer (automatic),87.75,Fiber optic,No,Yes
Electronic check,100.05,Fiber optic,Yes,No
Credit card (automatic),81.3,Fiber optic,No,Yes
Electronic check,44.3,DSL,No,No
Credit card (automatic),70.35,Fiber optic,No,No
Credit card (automatic),44.45,DSL,Yes,Yes
Electronic check,49.15,DSL,No,Yes
Credit card (automatic),29.45,DSL,No,No
Electronic check,100.55,Fiber optic,No,No
Credit card (automatic),85.3,Fiber optic,No,No
Electronic check,95.65,Fiber optic,No,No
Mailed check,69.1,DSL,No,Yes
Bank transfer (automatic),70.35,DSL,No,Yes
Mailed check,20.6,No,No internet service,No internet service
Mailed check,74.15,Fiber optic,No,No
Electronic check,75.05,Fiber optic,No,No
Electronic check,44.6,DSL,No,No
Bank transfer (automatic),21.45,No,No internet service,No internet service
Mailed check,43.45,DSL,No,No
Bank transfer (automatic),20.05,No,No internet service,No internet service
Bank transfer (automatic),94.15,Fiber optic,No,Yes
Electronic check,94.4,Fiber optic,Yes,No
Mailed check,19.55,No,No internet service,No internet service
Mailed check,75.9,DSL,No,Yes
Bank transfer (automatic),64.15,DSL,No,Yes
Bank transfer (automatic),109.55,Fiber optic,Yes,Yes
Credit card (automatic),110.8,Fiber optic,Yes,No
Credit card (automatic),55.0,DSL,No,No
Mailed check,53.45,DSL,Yes,No
Credit card (automatic),69.95,Fiber optic,No,No
Electronic check,101.45,Fiber optic,Yes,No
Electronic check,97.0,Fiber optic,Yes,No
Bank transfer (automatic),90.6,DSL,Yes,Yes
Mailed check,73.55,Fiber optic,No,Yes
Bank transfer (automatic),67.95,DSL,Yes,No
Bank transfer (automatic),94.35,Fiber optic,No,No
Electronic check,69.5,Fiber optic,No,No
Mailed check,18.85,No,No internet service,No internet service
Mailed check,19.4,No,No internet service,No internet service
Electronic check,69.2,Fiber optic,No,No
Mailed check,19.75,No,No internet service,No internet service
Electronic check,54.6,DSL,Yes,No
Mailed check,29.8,DSL,Yes,No
Electronic check,69.65,Fiber optic,No,No
Electronic check,101.85,Fiber optic,No,Yes
Electronic check,103.05,Fiber optic,Yes,No
Electronic check,82.3,Fiber optic,Yes,No
Mailed check,20.3,No,No internet service,No internet service
Mailed check,35.1,DSL,No,Yes
Bank transfer (automatic),105.7,Fiber optic,Yes,No
Bank transfer (automatic),56.25,DSL,No,Yes
Electronic check,60.35,DSL,Yes,No
Electronic check,79.25,Fiber optic,No,No
Bank transfer (automatic),59.8,DSL,Yes,Yes
Electronic check,84.6,Fiber optic,No,No
Bank transfer (automatic),93.4,Fiber optic,No,Yes
Electronic check,94.2,Fiber optic,No,No
Electronic check,25.05,DSL,No,No
Mailed check,99.65,Fiber optic,Yes,Yes
Bank transfer (automatic),50.65,DSL,No,Yes
Electronic check,60.9,DSL,Yes,No
Bank transfer (automatic),59.65,DSL,Yes,No
Electronic check,64.7,DSL,Yes,Yes
Credit card (automatic),25.1,DSL,No,No
Electronic check,48.95,DSL,Yes,No
Electronic check,54.85,DSL,No,No
Electronic check,45.3,DSL,No,No
Electronic check,91.35,Fiber optic,No,No
Electronic check,85.85,Fiber optic,Yes,No
Mailed check,25.1,No,No internet service,No internet service
Bank transfer (automatic),34.0,DSL,No,Yes
Mailed check,45.9,DSL,Yes,Yes
